ID MSA,MSA,ID Year,Year,Average Commute Time,Slug MSA
"31000US13780","Binghamton, NY",2021,"2021",20.30957897259727,"binghamton-ny-31000US13780"
"31000US13820","Birmingham-Hoover, AL",2021,"2021",26.822691961888992,"birmingham-hoover-al"
"31000US13900","Bismarck, ND",2021,"2021",18.292143660539576,"bismarck-nd-31000US13900"
"31000US13940","Blackfoot, ID",2021,"2021",22.900739667925308,"blackfoot-id-31000US13940"
"31000US13980","Blacksburg-Christiansburg-Radford, VA",2021,"2021",20.575466242590718,"blacksburg-christiansburg-radford-va"
"31000US14010","Bloomington, IL",2021,"2021",17.943177883719073,"bloomington-il-31000US14010"
"31000US14020","Bloomington, IN",2021,"2021",22.004454181417213,"bloomington-in-31000US14020"
"31000US14100","Bloomsburg-Berwick, PA",2021,"2021",20.580572711959572,"bloomsburg-berwick-pa"
"31000US14140","Bluefield, WV-VA",2021,"2021",23.97126772531733,"bluefield-wv-va"
"31000US14180","Blytheville, AR",2021,"2021",19.11044055522028,"blytheville-ar-31000US14180"
"31000US14220","Bogalusa, LA",2021,"2021",33.373373373373376,"bogalusa-la-31000US14220"
"31000US14260","Boise City, ID",2021,"2021",22.617819798811723,"boise-city-id-31000US14260"
"31000US14300","Bonham, TX",2021,"2021",31.61481595564454,"bonham-tx-31000US14300"
"31000US14380","Boone, NC",2021,"2021",20.689768112144634,"boone-nc-31000US14380"
"31000US14420","Borger, TX",2021,"2021",20.56129556535872,"borger-tx-31000US14420"
"31000US14460","Boston-Cambridge-Newton, MA-NH",2021,"2021",31.05346111786309,"boston-cambridge-newton-ma-nh"
"31000US14500","Boulder, CO",2021,"2021",23.72592174975244,"boulder-co-31000US14500"
"31000US14540","Bowling Green, KY",2021,"2021",22.251972906685644,"bowling-green-ky-31000US14540"
"31000US14580","Bozeman, MT",2021,"2021",18.3187818494878,"bozeman-mt-31000US14580"
"31000US14620","Bradford, PA",2021,"2021",21.139567383643215,"bradford-pa-31000US14620"
"31000US14660","Brainerd, MN",2021,"2021",22.677239758913064,"brainerd-mn-31000US14660"
"31000US14700","Branson, MO",2021,"2021",22.657966429387468,"branson-mo-31000US14700"
"31000US14720","Breckenridge, CO",2021,"2021",19.23281582571679,"breckenridge-co-31000US14720"
"31000US14740","Bremerton-Silverdale, WA",2021,"2021",29.35992283246204,"bremerton-silverdale-wa"
"31000US14780","Brenham, TX",2021,"2021",20.317385444743934,"brenham-tx-31000US14780"
"31000US14820","Brevard, NC",2021,"2021",22.51761127121358,"brevard-nc-31000US14820"
"31000US14860","Bridgeport-Stamford-Norwalk, CT",2021,"2021",31.011141015209365,"bridgeport-stamford-norwalk-ct"
